Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,,BMR,mean_cal_activity,,,,,,,,,,
9/14/18,"3,080","7,021",3.31,3,871,179,18,7,"1,125",1955,,,,,,,,,,,,
9/15/18,"3,180","9,445",4.45,77,849,134,23,51,"1,287",1893,,,,,,,,,,,,
9/16/18,"3,344","9,015",4.25,102,586,184,30,38,"1,494",1850,,,,,,,,,,,,
9/17/18,"2,952","5,628",2.65,2,990,134,24,13,985,1967,,,,,,,,,,,,
9/18/18,"2,997","6,247",2.95,11,866,196,1,11,"1,074",1923,,,,,,,,,,,,
9/19/18,"3,044","7,034",3.32,14,768,218,2,8,"1,195",1849,,,,,,,,,,,,
9/20/18,"3,517","9,920",4.68,8,844,156,10,56,"1,565",1952,,,,,,,,,,,,
9/21/18,"3,105","8,185",3.86,9,797,163,6,26,"1,172",1933,,,,,,,,,,,,
9/22/18,"5,199","16,219",7.65,10,581,319,78,98,"3,596",1603,,,,,,,,,,,,
9/23/18,"2,787","5,807",2.74,12,773,46,7,46,745,2042,,,,,,,,,,,,
9/24/18,"2,771","4,500",2.12,7,841,167,0,0,822,1949,,,,,,,,,,,,
9/25/18,"2,820","5,219",2.46,6,767,142,2,11,853,1967,,,,,,,,,,,,
9/26/18,"3,613","10,466",4.94,9,707,163,3,63,"1,677",1936,,,,,,,,,,,,
9/27/18,"3,348","9,751",4.6,7,849,167,10,42,"1,427",1921,,,,,,,,,,,,
9/28/18,"2,970","4,531",2.14,4,775,235,0,0,"1,068",1902,,,,,,,,,,,,
9/29/18,"3,043","7,043",3.32,5,788,218,4,5,"1,220",1823,,,,,,,,,,,,
9/30/18,"4,184","15,991",7.54,9,652,254,45,72,"2,504",1680,,,,,,,,,,,,
10/1/18,"3,180","8,307",3.92,8,813,201,5,24,"1,330",1850,,,,,,,,,,,,
10/2/18,"3,162","8,702",4.1,9,872,141,11,34,"1,205",1957,,,,,,,,,,,,
10/3/18,"3,584","10,729",5.06,6,773,186,7,69,"1,715",1869,,,,,,,,,,,,
10/4/18,"3,713","13,511",6.37,7,772,152,15,95,"1,895",1818,,,,,,,,,,,,
10/5/18,"3,603","11,029",5.2,105,822,167,7,71,"1,684",1919,,,,,,,,,,,,
10/6/18,"3,246","8,140",3.84,6,750,218,20,6,"1,343",1903,,,,,,,,,,,,
10/7/18,"4,799","20,396",9.62,30,402,329,76,100,"3,344",1455,,,,,,,,,,,,
10/8/18,"3,299","9,111",4.3,6,648,210,25,20,"1,513",1786,,,,,,,,,,,,
10/9/18,"3,046","8,076",3.81,7,900,130,15,35,"1,127",1919,,,,,,,,,,,,
10/10/18,"3,183","8,996",4.24,128,683,151,18,48,"1,330",1853,,,,,,,,,,,,
10/11/18,"4,194","16,811",8.24,18,683,216,7,90,"2,398",1796,,,,,,,,,,,,
10/12/18,"3,427","10,203",4.81,7,674,259,20,11,"1,630",1797,,,,,,,,,,,,
10/13/18,"3,464","9,661",4.56,14,655,275,40,16,"1,714",1750,,,,,,,,,,,,
10/14/18,"3,903","14,896",7.03,8,625,256,15,74,"2,219",1684,,,,,,,,,,,,
10/15/18,"2,956","5,982",2.82,12,915,206,0,0,"1,057",1899,,,,,,,,,,,,
10/16/18,"3,432","11,061",5.22,162,819,229,8,55,"1,630",1802,,,,,,,,,,,,
10/17/18,"3,268","10,426",4.92,10,737,170,3,45,"1,401",1867,,,,,,,,,,,,
10/18/18,"3,323","9,719",4.58,2,674,255,3,18,"1,520",1803,,,,,,,,,,,,
10/19/18,"3,706","13,701",6.46,14,718,114,21,93,"1,815",1891,,,,,,,,,,,,
10/20/18,"3,788","16,251",7.66,16,610,224,54,57,"2,102",1686,,,,,,,,,,,,
10/21/18,"3,991","16,642",7.85,15,437,349,33,58,"2,485",1506,,,,,,,,,,,,
10/22/18,"3,149","8,328",3.93,7,747,172,4,28,"1,239",1910,,,,,,,,,,,,
10/23/18,"3,739","16,918",7.98,8,674,127,16,115,"1,924",1815,,,,,,,,,,,,
10/24/18,"3,075","7,829",3.69,32,711,141,15,24,"1,108",1967,,,,,,,,,,,,
10/25/18,"3,379","11,073",5.22,15,596,275,18,15,"1,669",1710,,,,,,,,,,,,
10/26/18,"3,549","11,788",5.56,10,834,200,4,62,"1,756",1793,,,,,,,,,,,,
10/27/18,"3,915","14,059",6.63,18,644,209,28,83,"2,181",1734,,,,,,,,,,,,
10/28/18,"4,450","19,956",9.41,9,632,239,52,112,"2,834",1616,,,,,,,,,,,,
10/29/18,"3,566","12,544",5.92,8,665,192,8,66,"1,774",1792,,,,,,,,,,,,
10/30/18,"3,572","14,794",6.98,14,771,170,8,93,"1,817",1755,,,,,,,,,,,,
10/31/18,"4,147","16,992",8.01,3,604,212,34,85,"2,418",1729,,,,,,,,,,,,
11/1/18,"3,448","15,134",7.14,11,698,164,12,80,"1,689",1759,,,,,,,,,,,,
11/2/18,"4,126","15,924",7.51,27,487,213,23,93,"2,361",1765,,,,,,,,,,,,
11/3/18,"4,174","15,388",7.26,5,662,265,19,85,"2,466",1708,,,,,,,,,,,,
11/4/18,"4,578","21,302",10.05,11,561,256,62,99,"2,907",1671,,,,,,,,,,,,
11/5/18,"3,710","13,441",6.36,8,666,168,14,85,"1,918",1792,,,,,,,,,,,,
11/6/18,"3,801","14,300",6.74,16,659,176,7,88,"1,939",1862,,,,,,,,,,,,
11/7/18,"3,681","13,664",6.46,9,566,172,4,82,"1,882",1799,,,,,,,,,,,,
11/8/18,"4,137","15,542",7.33,26,716,238,15,86,"2,436",1701,,,,,,,,,,,,
11/9/18,"4,445","16,732",7.99,14,698,126,31,131,"2,671",1774,,,,,,,,,,,,
11/10/18,"3,863","13,636",7.04,16,589,219,3,77,"2,115",1748,,,,,,,,,,,,
11/11/18,"4,264","17,761",8.36,129,486,299,47,76,"2,717",1547,,,,,,,,,,,,
11/12/18,"3,444","10,184",4.82,19,651,244,14,40,"1,705",1739,,,,,,,,,,,,
11/13/18,"3,202","10,330",4.87,16,615,199,10,26,"1,376",1826,,,,,,,,,,,,
11/14/18,"3,081","7,598",3.58,15,835,214,8,12,"1,250",1831,,,,,,,,,,,,
11/15/18,"3,815","12,360",5.9,10,644,203,7,69,"2,082",1733,,,,,,,,,,,,
11/16/18,"3,780","12,286",5.73,13,576,281,31,42,"2,114",1666,,,,,,,,,,,,
11/17/18,"4,548","20,395",10.06,31,464,347,54,90,"3,077",1471,,,,,,,,,,,,
11/18/18,"4,832","25,512",12,23,450,269,53,154,"3,373",1459,,,,,,,,,,,,
11/19/18,"3,697","11,993",5.56,17,502,255,34,43,"2,062",1635,,,,,,,,,,,,
11/20/18,"3,966","15,527",7.27,13,810,196,11,96,"2,260",1706,,,,,,,,,,,,
11/21/18,"3,738","11,079",5.16,4,582,328,9,33,"2,101",1637,,,,,,,,,,,,
11/22/18,"4,494","16,705",7.84,177,522,284,18,115,"2,868",1626,,,,,,,,,,,,
11/23/18,"3,325","9,602",4.53,16,660,269,23,12,"1,619",1706,,,,,,,,,,,,
11/24/18,"4,098","17,004",9.2,23,532,217,13,100,"2,428",1670,,,,,,,,,,,,
11/25/18,"3,005","6,921",3.26,11,614,281,3,6,"1,306",1699,,,,,,,,,,,,
11/26/18,"3,364","10,563",5.64,20,587,210,10,42,"1,605",1759,,,,,,,,,,,,
11/27/18,"3,726","13,420",6.29,7,650,196,12,78,"2,027",1699,,,,,,,,,,,,
11/28/18,"3,088","7,602",3.59,16,717,272,0,0,"1,361",1727,,,,,,,,,,,,
11/29/18,"3,693","12,380",6.56,18,717,258,15,53,"2,051",1642,,,,,,,,,,,,
11/30/18,"3,269","9,559",4.51,14,699,288,12,6,"1,577",1692,,,,,,,,,,,,
12/1/18,"3,813","14,510",7.27,7,527,233,22,67,"2,124",1689,,,,,,,,,,,,
12/2/18,"3,957","13,257",6.23,195,725,265,13,70,"2,305",1652,,,,,,,,,,,,
12/3/18,"3,660","12,915",6.12,6,782,219,40,51,"1,993",1667,,,,,,,,,,,,
12/4/18,"3,384","13,763",6.49,13,608,199,11,67,"1,663",1721,,,,,,,,,,,,
12/5/18,"3,670","13,865",6.52,12,739,200,12,69,"1,968",1702,,,,,,,,,,,,
12/6/18,"3,669","14,774",6.96,9,647,198,4,78,"1,962",1707,,,,,,,,,,,,
